"filename", "language", "MS SQL", "Docker", "pip requirements", "Python", "Markdown", "Ignore", "YAML", "comment", "blank", "total"
"e:\Downloads\project_september\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"e:\Downloads\project_september\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 15, 51
"e:\Downloads\project_september\README.md", "Markdown", 0, 0, 0, 0, 102, 0, 0, 0, 31, 133
"e:\Downloads\project_september\app\admin\filters.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"e:\Downloads\project_september\app\admin\handlers\admin_menu.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"e:\Downloads\project_september\app\admin\handlers\admin_orders_menu\admin_orders_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\handlers\admin_products_menu\admin_add_product.py", "Python", 0, 0, 0, 104, 0, 0, 0, 1, 31, 136
"e:\Downloads\project_september\app\admin\handlers\admin_products_menu\admin_product_info_menu.py", "Python", 0, 0, 0, 174, 0, 0, 0, 4, 57, 235
"e:\Downloads\project_september\app\admin\handlers\admin_products_menu\admin_products_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"e:\Downloads\project_september\app\admin\handlers\admin_products_menu\admin_view_products.py", "Python", 0, 0, 0, 50, 0, 0, 0, 0, 14, 64
"e:\Downloads\project_september\app\admin\handlers\admin_statistics_menu\admin_statistics_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\handlers\admin_support_menu\admin_close_request.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Downloads\project_september\app\admin\handlers\admin_support_menu\admin_open_requests.py", "Python", 0, 0, 0, 47, 0, 0, 0, 0, 15, 62
"e:\Downloads\project_september\app\admin\handlers\admin_support_menu\admin_request_menu.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 26, 110
"e:\Downloads\project_september\app\admin\handlers\admin_support_menu\admin_support_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"e:\Downloads\project_september\app\admin\handlers\admin_users_menu\admin_users_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\keyboards\admin_menu_keyboard.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"e:\Downloads\project_september\app\admin\keyboards\admin_open_requests_keyboard.py", "Python", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"e:\Downloads\project_september\app\admin\keyboards\admin_products_keyboard.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 11, 95
"e:\Downloads\project_september\app\admin\keyboards\admin_products_menu_keyboard.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\Downloads\project_september\app\admin\keyboards\admin_request_menu_keyboard.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"e:\Downloads\project_september\app\admin\keyboards\admin_support_keyboard.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\Downloads\project_september\app\config.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\database\connection.py", "Python", 0, 0, 0, 32, 0, 0, 0, 1, 11, 44
"e:\Downloads\project_september\app\database\queries.py", "Python", 0, 0, 0, 191, 0, 0, 0, 102, 62, 355
"e:\Downloads\project_september\app\main.py", "Python", 0, 0, 0, 59, 0, 0, 0, 22, 45, 126
"e:\Downloads\project_september\app\paths.py", "Python", 0, 0, 0, 7, 0, 0, 0, 1, 3, 11
"e:\Downloads\project_september\app\user\handlers\about.py", "Python", 0, 0, 0, 11, 0, 0, 0, 16, 5, 32
"e:\Downloads\project_september\app\user\handlers\main_menu.py", "Python", 0, 0, 0, 28, 0, 0, 0, 0, 9, 37
"e:\Downloads\project_september\app\user\handlers\orders.py", "Python", 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"e:\Downloads\project_september\app\user\handlers\products.py", "Python", 0, 0, 0, 52, 0, 0, 0, 0, 14, 66
"e:\Downloads\project_september\app\user\handlers\support_menu\request_menu.py", "Python", 0, 0, 0, 88, 0, 0, 0, 0, 26, 114
"e:\Downloads\project_september\app\user\handlers\support_menu\support_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"e:\Downloads\project_september\app\user\handlers\support_menu\user_requests_menu.py", "Python", 0, 0, 0, 46, 0, 0, 0, 0, 14, 60
"e:\Downloads\project_september\app\user\handlers\support_menu\write_support_request.py", "Python", 0, 0, 0, 60, 0, 0, 0, 0, 16, 76
"e:\Downloads\project_september\app\user\keyboards\about_menu_keyboard.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\Downloads\project_september\app\user\keyboards\main_menu_keyboard.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
