"filename", "language", "pip requirements", "MS SQL", "Markdown", "Python", "Ignore", "Docker", "YAML", "comment", "blank", "total"
"e:\Downloads\project_september\.dockerignore", "Ignore", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\Downloads\project_september\CHANGELOG.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 20, 66
"e:\Downloads\project_september\README.md", "Markdown", 0, 0, 102, 0, 0, 0, 0, 0, 31, 133
"e:\Downloads\project_september\app\admin\filters.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"e:\Downloads\project_september\app\admin\handlers\admin_menu.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"e:\Downloads\project_september\app\admin\handlers\admin_orders\admin_orders_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\handlers\admin_products\admin_add_product.py", "Python", 0, 0, 0, 104, 0, 0, 0, 1, 31, 136
"e:\Downloads\project_september\app\admin\handlers\admin_products\admin_product_view.py", "Python", 0, 0, 0, 174, 0, 0, 0, 4, 56, 234
"e:\Downloads\project_september\app\admin\handlers\admin_products\admin_products_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"e:\Downloads\project_september\app\admin\handlers\admin_products\admin_view_catalog.py", "Python", 0, 0, 0, 50, 0, 0, 0, 0, 14, 64
"e:\Downloads\project_september\app\admin\handlers\admin_statistics\admin_statistics_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\handlers\admin_support\admin_close_request.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Downloads\project_september\app\admin\handlers\admin_support\admin_open_requests.py", "Python", 0, 0, 0, 47, 0, 0, 0, 0, 15, 62
"e:\Downloads\project_september\app\admin\handlers\admin_support\admin_request_view.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 26, 110
"e:\Downloads\project_september\app\admin\handlers\admin_support\admin_support_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"e:\Downloads\project_september\app\admin\handlers\admin_users\admin_users_menu.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\admin\keyboards\admin_menu_keyboard.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"e:\Downloads\project_september\app\admin\keyboards\admin_products_keyboards\admin_catalog_keyboard.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 11, 95
"e:\Downloads\project_september\app\admin\keyboards\admin_products_keyboards\admin_products_menu_keyboard.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\Downloads\project_september\app\admin\keyboards\admin_support_keyboards\admin_open_requests_keyboard.py", "Python", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"e:\Downloads\project_september\app\admin\keyboards\admin_support_keyboards\admin_request_view_keyboard.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"e:\Downloads\project_september\app\admin\keyboards\admin_support_keyboards\admin_support_menu_keyboard.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\Downloads\project_september\app\config.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Downloads\project_september\app\database\connection.py", "Python", 0, 0, 0, 32, 0, 0, 0, 1, 11, 44
"e:\Downloads\project_september\app\database\queries.py", "Python", 0, 0, 0, 267, 0, 0, 0, 163, 78, 508
"e:\Downloads\project_september\app\main.py", "Python", 0, 0, 0, 65, 0, 0, 0, 22, 45, 132
"e:\Downloads\project_september\app\paths.py", "Python", 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
"e:\Downloads\project_september\app\user\handlers\about.py", "Python", 0, 0, 0, 11, 0, 0, 0, 16, 5, 32
"e:\Downloads\project_september\app\user\handlers\main_menu.py", "Python", 0, 0, 0, 28, 0, 0, 0, 0, 9, 37
"e:\Downloads\project_september\app\user\handlers\orders.py", "Python", 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"e:\Downloads\project_september\app\user\handlers\products\cart_item_view.py", "Python", 0, 0, 0, 110, 0, 0, 0, 0, 29, 139
"e:\Downloads\project_september\app\user\handlers\products\product_view.py", "Python", 0, 0, 0, 116, 0, 0, 0, 0, 26, 142
"e:\Downloads\project_september\app\user\handlers\products\user_cart.py", "Python", 0, 0, 0, 100, 0, 0, 0, 0, 32, 132
"e:\Downloads\project_september\app\user\handlers\products\view_catalog.py", "Python", 0, 0, 0, 59, 0, 0, 0, 0, 16, 75
"e:\Downloads\project_september\app\user\handlers\support\request_menu.py", "Python", 0, 0, 0, 88, 0, 0, 0, 0, 26, 114
"e:\Downloads\project_september\app\user\handlers\support\support_menu.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"e:\Downloads\project_september\app\user\handlers\support\user_requests_menu.py", "Python", 0, 0, 0, 46, 0, 0, 0, 0, 14, 60
"e:\Downloads\project_september\app\user\handlers\support\write_support_request.py", "Python", 0, 0, 0, 60, 0, 0, 0, 0, 16, 76
"e:\Downloads\project_september\app\user\keyboards\about_menu_keyboard.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\Downloads\project_september\app\user\keyboards\main_menu_keyboard.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"e:\Downloads\project_september\app\user\keyboards\orders_menu_keyboard.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\Downloads\project_september\app\user\keyboards\products_keyboards\cart_keyboard.py", "Python", 0, 0, 0, 96, 0, 0, 0, 0, 13, 109
"e:\Downloads\project_september\app\user\keyboards\products_keyboards\catalog_keyboard.py", "Python", 0, 0, 0, 85, 0, 0, 0, 0, 12, 97
"e:\Downloads\project_september\app\user\keyboards\support_keyboards\request_view_keyboard.py", "Python", 0, 0, 0, 63, 0, 0, 0, 0, 5, 68
"e:\Downloads\project_september\app\user\keyboards\support_keyboards\support_menu_keyboard.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"e:\Downloads\project_september\app\user\keyboards\support_keyboards\user_requests_keyboard.py", "Python", 0, 0, 0, 37, 0, 0, 0, 0, 9, 46
"e:\Downloads\project_september\app\user\states.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"e:\Downloads\project_september\compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"e:\Downloads\project_september\database\schema.sql", "MS SQL", 0, 60, 0, 0, 0, 0, 0, 0, 18, 78
"e:\Downloads\project_september\dockerfile", "Docker", 0, 0, 0, 0, 0, 10, 0, 2, 8, 20
"e:\Downloads\project_september\requirements.txt", "pip requirements", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 3, 60, 148, 2196, 5, 10, 23, 213, 655, 3313
